condition,speed_cm_s,trial,seed,tau,success,lift_mm,mean_tracking_error_pre_contact_mm,mean_tracking_error_after_warmup_mm,contact_tracking_error_mm,max_tracking_error_mm,object_estimation_error_xy_mm,object_estimation_error_theta_deg,target_to_desired_demo_frame_error_xy_mm,target_to_object_contact_offset_error_mm,ee_to_target_error_xy_mm,ee_to_target_error_3d_mm,mean_ee_to_target_error_pre_contact_mm,mean_ee_to_target_error_contact_window_mm,max_ee_to_target_error_mm,contact_window_ee_to_object_xy_mm,contact_window_ee_to_target_xy_mm,contact_window_target_to_object_xy_mm,gripper_close_sim_t,gripper_close_t_demo,contact_position_error_mm,orientation_error_deg,approach_error_mm,progress_pct,main_failure,n_attempts,runtime_s
dynamic_tau0,6.000,4,42,0.000,0,-0.010,35.889,36.123,nan,195.400,35.889,nan,35.903,35.903,8.666,18.195,8.666,4.532,194.448,47.552,4.532,47.222,3.033,2.533,inf,inf,inf,84.945,attempt_limit,3,3.702
dynamic_tau0,6.000,5,42,0.000,1,146.534,36.860,37.794,11.586,199.764,36.860,nan,37.527,37.531,9.756,19.816,9.756,9.332,195.696,41.633,9.332,38.868,2.967,2.504,3.405,17.935,3.394,95.618,none,2,9.415
dynamic_tau0,6.000,6,42,0.000,1,337.491,20.668,17.393,20.585,193.602,20.668,nan,21.900,21.925,9.789,15.793,9.789,4.366,188.420,17.239,4.366,17.251,3.033,2.519,3.109,3.935,3.335,39.053,none,1,9.170
dynamic_tau0,6.000,7,42,0.000,1,111.944,41.843,44.092,18.384,194.333,41.843,nan,42.358,42.362,10.635,21.149,10.635,11.153,189.899,25.525,11.153,23.249,2.933,2.511,1.863,15.678,17.603,95.308,none,2,9.491
dynamic_tau0,6.000,8,42,0.000,1,331.680,20.989,16.049,18.581,266.740,20.989,nan,22.206,22.238,12.433,17.741,12.433,4.097,228.668,13.590,4.097,14.483,3.067,2.514,2.955,5.130,2.980,42.279,none,1,9.415
dynamic_tau0,6.000,9,42,0.000,1,112.826,41.255,43.619,29.955,183.714,41.255,nan,41.790,41.795,10.579,20.569,10.579,11.114,186.637,27.626,11.114,25.705,2.967,2.522,2.036,15.462,17.140,95.307,none,2,9.507
dynamic_tau0,6.000,10,42,0.000,1,347.156,21.347,19.213,32.283,180.500,21.347,nan,22.584,22.605,10.051,16.107,10.051,4.291,187.839,16.073,4.291,18.259,3.033,2.528,3.053,6.022,3.078,40.347,none,1,9.410
dynamic_tau0,8.000,1,42,0.000,1,354.041,32.752,25.970,40.941,266.199,32.752,nan,33.809,33.823,13.067,18.387,13.067,5.422,233.810,24.161,5.422,22.574,3.233,2.519,4.346,8.092,4.475,31.212,none,1,9.100
dynamic_tau0,8.000,2,42,0.000,0,-0.010,37.084,36.637,nan,276.111,37.084,nan,37.346,37.359,10.936,20.204,10.936,5.409,237.053,26.854,5.409,25.987,3.100,2.508,inf,inf,inf,80.336,attempt_limit,3,3.942
dynamic_tau0,8.000,3,42,0.000,0,-0.010,37.529,38.302,nan,195.749,37.529,nan,37.703,37.712,10.449,19.760,10.449,6.064,195.421,23.881,6.064,24.643,3.067,2.517,inf,inf,inf,81.151,attempt_limit,3,3.564
dynamic_tau0,8.000,4,42,0.000,0,-0.010,36.284,36.962,nan,200.047,36.284,nan,36.423,36.432,10.469,19.618,10.469,3.485,195.695,22.980,3.485,23.040,3.000,2.508,inf,inf,inf,81.918,attempt_limit,3,3.579
dynamic_tau0,8.000,5,42,0.000,0,-0.010,35.960,36.813,nan,195.961,35.960,nan,36.104,36.113,10.321,20.063,10.321,5.579,190.600,35.800,5.579,35.905,3.100,2.512,inf,inf,inf,79.109,attempt_limit,3,3.830
dynamic_tau0,8.000,6,42,0.000,0,-0.010,37.896,38.219,nan,265.743,37.896,nan,38.098,38.107,11.556,21.097,11.556,5.150,225.787,31.465,5.150,31.576,3.067,2.504,inf,inf,inf,79.606,attempt_limit,3,3.653
dynamic_tau0,8.000,7,42,0.000,0,-0.010,38.009,39.229,nan,183.671,38.009,nan,38.179,38.191,10.411,20.153,10.411,5.050,186.665,33.805,5.050,33.259,3.000,2.524,inf,inf,inf,80.348,attempt_limit,3,3.623
dynamic_tau0,8.000,8,42,0.000,1,328.323,38.574,41.563,15.324,165.044,38.574,nan,38.748,38.743,12.374,22.996,12.374,6.355,164.767,41.598,6.355,39.512,3.133,2.533,3.207,5.619,5.104,46.397,none,2,9.374
dynamic_tau0,8.000,9,42,0.000,0,-0.010,39.116,41.399,nan,153.555,39.116,nan,38.959,38.941,10.558,20.020,10.558,4.795,148.637,48.282,4.795,49.622,3.100,2.501,inf,inf,inf,79.958,attempt_limit,3,3.636
dynamic_tau0,8.000,10,42,0.000,0,0.135,48.853,48.687,nan,218.207,48.853,nan,49.017,49.010,13.845,30.197,13.845,7.263,206.450,35.538,7.263,35.847,3.733,2.508,inf,inf,inf,73.036,attempt_limit,3,4.034
dynamic_cv,2.000,1,42,0.100,0,-0.010,61.550,60.528,nan,259.371,61.550,nan,70.902,70.888,13.864,23.643,13.864,3.210,462.934,62.619,3.210,64.842,3.267,2.503,inf,inf,inf,81.527,attempt_limit,3,3.630
dynamic_cv,2.000,2,42,0.100,1,131.848,55.533,54.181,30.429,260.244,55.533,nan,74.297,74.279,25.817,33.996,25.817,1.036,464.749,29.728,1.036,30.393,3.467,2.511,1.005,1.758,1.045,96.178,none,1,9.348
dynamic_cv,2.000,3,42,0.100,0,-0.010,58.413,56.947,nan,260.563,58.413,nan,67.622,67.617,13.546,23.712,13.546,1.595,464.742,75.182,1.595,76.521,3.300,2.504,inf,inf,inf,84.109,attempt_limit,3,3.490
dynamic_cv,2.000,4,42,0.100,1,251.687,34.739,22.387,15.852,185.614,34.739,nan,51.492,51.449,21.142,30.763,21.142,0.911,467.177,13.786,0.911,14.635,3.367,2.524,0.807,5.374,0.931,96.630,none,1,9.294
dynamic_cv,2.000,5,42,0.100,0,-0.010,59.887,60.204,nan,198.962,59.887,nan,68.445,68.445,13.760,25.096,13.760,5.143,467.169,49.467,5.143,50.311,3.500,2.527,inf,inf,inf,80.302,attempt_limit,3,3.637
